"","No","Type","Land_type","City_code","Prefecture","City_name","District_name","Closet_station","Min_closet_station","Price","Unit_price_py","Room_number","Area_mm2","Unit_price_mm2","Land_shape","open_length","Building_area_mm2","Year_built_Japanese1","Year_built_Japanese2","Building_structure","Usage","Future_usage","Front_road_direction","Front_road_type","Front_road_open_length","City_plan","Building_rate","Floor_area_ratio","Year_traded","Quarter_traded","Remodeled","Note","Year_built_JapanesetoWestern","Year_built_western","House_age","UnitPricePy_corrected_byHouseAge"
"1216",21785,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","牧志",NA,NA,20000000,881542.699733333,"３ＬＤＫ","75",NA,NA,NA,NA,"平成","10","ＳＲＣ","住宅",NA,NA,NA,NA,NA,NA,NA,"2012","第２四半期","未改<U+88C5>",NA,1988,1998,14,881495.040933333
"1217",21793,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","松尾","<U+770C><U+5E81>前(沖<U+7E04>)","9",13000000,537190.08265,"３ＬＤＫ","80",NA,NA,NA,NA,"昭和","60","ＲＣ","住宅",NA,NA,NA,NA,"商業地域",80,400,"2012","第４四半期",NA,NA,1925,1985,27,537098.16925
"1218",21795,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","松尾","<U+770C><U+5E81>前(沖<U+7E04>)","5",20000000,944510.035428571,"３ＬＤＫ","70",NA,NA,NA,NA,"平成","12","ＳＲＣ","住宅",NA,NA,NA,NA,"商業地域",80,400,"2012","第３四半期","改<U+88C5><U+6E08>",NA,1988,2000,12,944469.185028571
"1219",21796,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","松尾","<U+770C><U+5E81>前(沖<U+7E04>)","11",11000000,661157.0248,"２ＬＤＫ","55",NA,NA,NA,NA,"<U+6226>前","","ＳＲＣ","住宅",NA,NA,NA,NA,"商業地域",80,400,"2012","第２四半期","未改<U+88C5>",NA,0,NA,NA,NA
"1220",21799,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","松尾","<U+770C><U+5E81>前(沖<U+7E04>)","6",17000000,802833.530114286,"３ＬＤＫ","70",NA,NA,NA,NA,"平成","12","ＳＲＣ","住宅",NA,NA,NA,NA,"商業地域",80,400,"2012","第１四半期","未改<U+88C5>","調停<U+30FB>競<U+58F2>等",1988,2000,12,802792.679714286
"1221",21800,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","松尾","<U+770C><U+5E81>前(沖<U+7E04>)","10",11000000,606060.606066667,"３ＬＤＫ","60",NA,NA,NA,NA,"昭和","62","ＲＣ","住宅",NA,NA,NA,NA,"商業地域",80,400,"2012","第１四半期","改<U+88C5><U+6E08>",NA,1925,1987,25,605975.501066667
"1222",21803,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","松尾","牧志","10",11000000,661157.0248,"３ＬＤＫ","55",NA,NA,NA,NA,"昭和","62","ＲＣ","住宅",NA,NA,NA,NA,"商業地域",80,400,"2012","第２四半期","改<U+88C5><U+6E08>",NA,1925,1987,25,661071.9198
"1223",21807,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","松尾",NA,NA,21000000,816723.383576471,"２ＬＤＫ","85",NA,NA,NA,NA,"平成","12","ＳＲＣ","住宅",NA,NA,NA,NA,NA,NA,NA,"2012","第３四半期",NA,NA,1988,2000,12,816682.533176471
"1224",21810,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","字松川","安里","16",2400000,528925.61984,"１ＬＤＫ","15",NA,NA,NA,NA,"昭和","50","ＳＲＣ","住宅",NA,NA,NA,NA,"第２種住居地域",60,200,"2012","第２四半期","未改<U+88C5>",NA,1925,1975,37,528799.66444
"1225",21819,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","松川","安里","6",15000000,762873.490153846,"３ＬＤＫ","65",NA,NA,NA,NA,"平成","9","ＲＣ","住宅",NA,NA,NA,NA,"近<U+96A3>商業地域",80,300,"2012","第４四半期","未改<U+88C5>",NA,1988,1997,15,762822.427153846
"1226",21822,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","松川","安里","6",17000000,864589.955507692,"２ＬＤＫ","65",NA,NA,NA,NA,"平成","9","ＲＣ","住宅",NA,NA,NA,NA,"近<U+96A3>商業地域",80,300,"2012","第１四半期","改<U+88C5><U+6E08>",NA,1988,1997,15,864538.892507692
"1227",21842,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","松山","<U+770C><U+5E81>前(沖<U+7E04>)","6",7500000,450788.880545455,"２ＬＤＫ","55",NA,NA,NA,NA,"昭和","60","ＲＣ","住宅",NA,NA,NA,NA,"商業地域",80,400,"2012","第２四半期","未改<U+88C5>",NA,1925,1985,27,450696.967145454
"1228",21852,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","港町",NA,NA,8500000,432294.977753846,"４ＬＤＫ","65",NA,NA,NA,NA,"昭和","62","ＲＣ","住宅",NA,NA,NA,NA,"商業地域",80,400,"2012","第２四半期","未改<U+88C5>",NA,1925,1987,25,432209.872753846
"1229",21858,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","三原","安里","11",5000000,661157.0248,"１Ｋ","25",NA,NA,NA,NA,"昭和","64","ＲＣ","住宅",NA,NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2012","第１四半期","未改<U+88C5>",NA,1925,1989,23,661078.7282
"1230",21888,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","山下町","<U+5965>武山公園","11",16000000,705234.159786667,"２ＬＤＫ","75",NA,NA,NA,NA,"平成","3","ＲＣ","住宅",NA,NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2012","第４四半期","未改<U+88C5>",NA,1988,1991,21,705162.671586667
"1231",21894,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","寄宮","安里","10",16000000,881542.699733333,"３ＬＤＫ","60",NA,NA,NA,NA,"平成","5","ＲＣ","住宅",NA,NA,NA,NA,"近<U+96A3>商業地域",80,200,"2012","第４四半期","改<U+88C5><U+6E08>",NA,1988,1993,19,881478.019933333
"1232",21900,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","寄宮","安里","11",12000000,721262.208872727,"３ＬＤＫ","55",NA,NA,NA,NA,"平成","2","ＲＣ","住宅",NA,NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2012","第１四半期","改<U+88C5><U+6E08>",NA,1988,1990,22,721187.316472727
"1233",21901,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","寄宮",NA,NA,9200000,675849.403128889,"２ＬＤＫ","45",NA,NA,NA,NA,NA,NA,"ＲＣ","住宅",NA,NA,NA,NA,NA,NA,NA,"2012","第３四半期","未改<U+88C5>",NA,0,NA,NA,NA
"1234",21902,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","寄宮",NA,NA,5200000,312546.957178182,"３ＬＤＫ","55",NA,NA,NA,NA,"昭和","50","ＳＲＣ","住宅",NA,NA,NA,NA,NA,NA,NA,"2012","第２四半期","改<U+88C5><U+6E08>",NA,1925,1975,37,312421.001778182
"1235",22058,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47208,"沖<U+7E04><U+770C>","浦添市","伊祖",NA,NA,17000000,936639.118466667,"３ＬＤＫ","60",NA,NA,NA,NA,"平成","5","ＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2015","第３四半期","改<U+88C5><U+6E08>",NA,1988,1993,22,936564.226066667
"1236",22062,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47208,"沖<U+7E04><U+770C>","浦添市","伊祖",NA,NA,17000000,1021788.12923636,"２ＬＤＫ","55",NA,NA,NA,NA,"平成","7","ＲＣ","住宅","住宅",NA,NA,NA,"第１種住居地域",60,200,"2015","第２四半期","改<U+88C5><U+6E08>",NA,1988,1995,20,1021720.04523636
"1237",22080,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47208,"沖<U+7E04><U+770C>","浦添市","字大平",NA,NA,15000000,661157.0248,"３ＬＤＫ","75",NA,NA,NA,NA,"平成","3","ＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,150,"2015","第４四半期","未改<U+88C5>",NA,1988,1991,24,661075.324
"1238",22088,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47208,"沖<U+7E04><U+770C>","浦添市","大平",NA,NA,3500000,210368.144254545,"２ＬＤＫ","55",NA,NA,NA,NA,"昭和","62","ＲＣ","住宅","<U+305D><U+306E>他",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,150,"2015","第１四半期","未改<U+88C5>",NA,1925,1987,28,210272.826654545
"1239",22089,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47208,"沖<U+7E04><U+770C>","浦添市","字<U+7D4C>塚","儀保","25",23000000,1382419.23367273,"２ＬＤＫ","55",NA,NA,NA,NA,"平成","24","ＲＣ","住宅","住宅",NA,NA,NA,"第１種住居地域",60,200,"2015","第２四半期","改<U+88C5><U+6E08>",NA,1988,2012,3,1382409.02107273
"1240",22125,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47208,"沖<U+7E04><U+770C>","浦添市","城間",NA,NA,13000000,613931.523028571,"３ＬＤＫ","70",NA,NA,NA,NA,"平成","8","ＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2015","第４四半期","未改<U+88C5>",NA,1988,1996,19,613866.843228571
"1241",22131,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47208,"沖<U+7E04><U+770C>","浦添市","城間",NA,NA,17000000,802833.530114286,"３ＬＤＫ","70",NA,NA,NA,NA,"平成","12","ＲＣ","住宅","住宅",NA,NA,NA,"商業地域",80,400,"2015","第３四半期","未改<U+88C5>",NA,1988,2000,15,802782.467114286
"1242",22136,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47208,"沖<U+7E04><U+770C>","浦添市","城間",NA,NA,25000000,1033057.85125,"３ＬＤＫ","80",NA,NA,NA,NA,"平成","26","ＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2015","第２四半期","未改<U+88C5>",NA,1988,2014,1,1033054.44705
"1243",22138,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47208,"沖<U+7E04><U+770C>","浦添市","城間",NA,NA,15000000,901577.761090909,"３ＬＤＫ","55",NA,NA,NA,NA,"平成","7","ＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,150,"2015","第１四半期","未改<U+88C5>",NA,1988,1995,20,901509.677090909
"1244",22139,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47208,"沖<U+7E04><U+770C>","浦添市","城間",NA,NA,30000000,1239669.4215,"３ＬＤＫ","80",NA,NA,NA,NA,"平成","26","ＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2015","第１四半期","改<U+88C5><U+6E08>",NA,1988,2014,1,1239666.0173
"1245",22156,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47208,"沖<U+7E04><U+770C>","浦添市","<U+6CA2><U+5CBB>",NA,NA,15000000,661157.0248,"２ＬＤＫ","75",NA,NA,NA,NA,"昭和","62","ＲＣ","住宅","住宅",NA,NA,NA,"第１種低層住居<U+5C02>用地域",50,100,"2015","第１四半期","改<U+88C5><U+6E08>",NA,1925,1987,28,661061.7072
"1246",22160,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47208,"沖<U+7E04><U+770C>","浦添市","仲西",NA,NA,11000000,559440.559446154,"３ＬＤＫ","65",NA,NA,NA,NA,"平成","3","ＲＣ","住宅","住宅",NA,NA,NA,"第１種住居地域",60,200,"2015","第３四半期","未改<U+88C5>",NA,1988,1991,24,559358.858646154
"1247",22184,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47208,"沖<U+7E04><U+770C>","浦添市","西原",NA,NA,19000000,966306.420861538,"３ＬＤＫ","65",NA,NA,NA,NA,"平成","12","ＲＣ","住宅","住宅",NA,NA,NA,"第２種住居地域",60,200,"2015","第３四半期","未改<U+88C5>",NA,1988,2000,15,966255.357861538
"1248",22187,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47208,"沖<U+7E04><U+770C>","浦添市","西原",NA,NA,25000000,1271455.81692308,"３ＬＤＫ","65",NA,NA,NA,NA,"平成","26","ＲＣ","住宅","住宅",NA,NA,NA,"近<U+96A3>商業地域",80,200,"2015","第３四半期","未改<U+88C5>",NA,1988,2014,1,1271452.41272308
"1249",22201,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47208,"沖<U+7E04><U+770C>","浦添市","字前田",NA,NA,30000000,1416765.05314286,"３ＬＤＫ","70",NA,NA,NA,NA,"平成","25","ＲＣ","住宅","住宅",NA,NA,NA,"第２種住居地域",60,200,"2015","第４四半期",NA,NA,1988,2013,2,1416758.24474286
"1250",22205,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47208,"沖<U+7E04><U+770C>","浦添市","前田","儀保","30分?60分",21000000,991735.5372,"３ＬＤＫ","70",NA,NA,NA,NA,"平成","6","ＲＣ","住宅","住宅",NA,NA,NA,"第２種低層住居<U+5C02>用地域",50,150,"2015","第３四半期","未改<U+88C5>",NA,1988,1994,21,991664.049
"1251",22267,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47208,"沖<U+7E04><U+770C>","浦添市","港川",NA,NA,16000000,813731.722830769,NA,"65",NA,NA,NA,NA,"平成","12","ＳＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2015","第２四半期","未改<U+88C5>",NA,1988,2000,15,813680.659830769
"1252",22268,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47208,"沖<U+7E04><U+770C>","浦添市","港川",NA,NA,11000000,661157.0248,"３ＬＤＫ","55",NA,NA,NA,NA,"平成","7","ＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2015","第２四半期","改<U+88C5><U+6E08>",NA,1988,1995,20,661088.9408
"1253",22269,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47208,"沖<U+7E04><U+770C>","浦添市","港川",NA,NA,37000000,1111945.90534545,"３ＬＤＫ","110",NA,NA,NA,NA,"平成","17","ＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2015","第１四半期","未改<U+88C5>",NA,1988,2005,10,1111911.86334545
"1254",22293,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47208,"沖<U+7E04><U+770C>","浦添市","宮城",NA,NA,6400000,282093.663914667,"３ＬＤＫ","75",NA,NA,NA,NA,"平成","4","ＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2015","第２四半期","未改<U+88C5>",NA,1988,1992,23,282015.367314667
"1255",22294,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47208,"沖<U+7E04><U+770C>","浦添市","宮城",NA,NA,20000000,944510.035428571,"３ＬＤＫ","70",NA,NA,NA,NA,"平成","3","ＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2015","第２四半期","改<U+88C5><U+6E08>",NA,1988,1991,24,944428.334628571
"1256",22590,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47208,"沖<U+7E04><U+770C>","浦添市","字<U+7D4C>塚",NA,NA,14000000,661157.0248,"３ＬＤＫ","70",NA,NA,NA,NA,"平成","4","ＲＣ","住宅",NA,NA,NA,NA,"第１種住居地域",60,200,"2012","第２四半期","未改<U+88C5>",NA,1988,1992,20,661088.9408
"1257",22617,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47208,"沖<U+7E04><U+770C>","浦添市","城間",NA,NA,11000000,484848.484853333,"３ＬＤＫ","75",NA,NA,NA,NA,"平成","2","ＲＣ","住宅",NA,NA,NA,NA,"第１種住居地域",60,200,"2012","第４四半期","未改<U+88C5>",NA,1988,1990,22,484773.592453333
"1258",22623,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47208,"沖<U+7E04><U+770C>","浦添市","城間",NA,NA,16000000,755608.028342857,"３ＬＤＫ","70",NA,NA,NA,NA,"平成","8","ＲＣ","住宅",NA,NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2012","第２四半期","改<U+88C5><U+6E08>",NA,1988,1996,16,755553.561142857
"1259",22625,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47208,"沖<U+7E04><U+770C>","浦添市","城間",NA,NA,15000000,762873.490153846,"３ＬＤＫ","65",NA,NA,NA,NA,"平成","7","ＲＣ","住宅",NA,NA,NA,NA,NA,NA,NA,"2012","第１四半期",NA,NA,1988,1995,17,762815.618753846
"1260",22640,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47208,"沖<U+7E04><U+770C>","浦添市","勢理客",NA,NA,7200000,528925.61984,"２ＬＤＫ","45",NA,NA,NA,NA,"平成","2","ＲＣ","住宅",NA,NA,NA,NA,"第１種住居地域",60,200,"2012","第１四半期","未改<U+88C5>",NA,1988,1990,22,528850.72744
"1261",22644,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47208,"沖<U+7E04><U+770C>","浦添市","<U+6CA2><U+5CBB>",NA,NA,13000000,358126.721766667,"３ＬＤＫ","120",NA,NA,NA,NA,"昭和","62","ＲＣ","住宅",NA,NA,NA,NA,NA,NA,NA,"2012","第４四半期","未改<U+88C5>",NA,1925,1987,25,358041.616766667
"1262",22661,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47208,"沖<U+7E04><U+770C>","浦添市","仲西",NA,NA,15000000,619834.71075,"４ＬＤＫ","80",NA,NA,NA,NA,"平成","4","ＲＣ","住宅",NA,NA,NA,NA,"第１種住居地域",60,200,"2012","第１四半期","未改<U+88C5>",NA,1988,1992,20,619766.62675
"1263",22730,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47208,"沖<U+7E04><U+770C>","浦添市","牧港",NA,NA,17000000,864589.955507692,"３ＬＤＫ","65",NA,NA,NA,NA,"平成","7","ＲＣ","住宅",NA,NA,NA,NA,"第１種住居地域",60,200,"2012","第３四半期","未改<U+88C5>",NA,1988,1995,17,864532.084107692
"1264",22753,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47208,"沖<U+7E04><U+770C>","浦添市","港川","古島","1H?1H30",17000000,864589.955507692,"３ＬＤＫ","65",NA,NA,NA,NA,"平成","9","ＳＲＣ","住宅",NA,NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2012","第１四半期","未改<U+88C5>",NA,1988,1997,15,864538.892507692
"1265",22754,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47208,"沖<U+7E04><U+770C>","浦添市","港川",NA,NA,16000000,705234.159786667,"３ＬＤＫ","75",NA,NA,NA,NA,"平成","17","ＲＣ","住宅",NA,NA,NA,NA,"商業地域",80,400,"2012","第４四半期","未改<U+88C5>",NA,1988,2005,7,705210.330386667
"1266",22755,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47208,"沖<U+7E04><U+770C>","浦添市","港川",NA,NA,25000000,869943.45368421,"３ＬＤＫ","95",NA,NA,NA,NA,"平成","17","ＲＣ","住宅",NA,NA,NA,NA,"商業地域",80,400,"2012","第３四半期","未改<U+88C5>",NA,1988,2005,7,869919.62428421
"1267",22756,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47208,"沖<U+7E04><U+770C>","浦添市","港川",NA,NA,18000000,915448.188184615,"３ＬＤＫ","65",NA,NA,NA,NA,"平成","9","ＳＲＣ","住宅",NA,NA,NA,NA,NA,NA,NA,"2012","第３四半期","未改<U+88C5>",NA,1988,1997,15,915397.125184615
"1268",22758,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47208,"沖<U+7E04><U+770C>","浦添市","港川",NA,NA,16000000,813731.722830769,"３ＬＤＫ","65",NA,NA,NA,NA,"平成","14","ＲＣ","住宅",NA,NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2012","第２四半期","未改<U+88C5>",NA,1988,2002,10,813697.680830769
"1269",22766,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47208,"沖<U+7E04><U+770C>","浦添市","屋富祖",NA,NA,11000000,559440.559446154,"３ＬＤＫ","65",NA,NA,NA,NA,"平成","4","ＲＣ","住宅",NA,NA,NA,NA,"第１種住居地域",60,200,"2012","第４四半期","未改<U+88C5>",NA,1988,1992,20,559372.475446154
"1270",22768,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47208,"沖<U+7E04><U+770C>","浦添市","屋富祖",NA,NA,11000000,559440.559446154,"３ＬＤＫ","65",NA,NA,NA,NA,"平成","7","ＲＣ","住宅",NA,NA,NA,NA,"第１種住居地域",60,200,"2012","第２四半期","未改<U+88C5>",NA,1988,1995,17,559382.688046154
"1271",23004,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47211,"沖<U+7E04><U+770C>","沖<U+7E04>市","泡<U+702C>",NA,NA,9000000,595041.32232,"２ＤＫ","50",NA,NA,NA,NA,"平成","17","ＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2015","第４四半期","改<U+88C5><U+6E08>",NA,1988,2005,10,595007.28032
"1272",23005,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47211,"沖<U+7E04><U+770C>","沖<U+7E04>市","泡<U+702C>",NA,NA,13000000,781367.392945454,"３ＬＤＫ","55",NA,NA,NA,NA,"平成","17","ＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2015","第４四半期","未改<U+88C5>",NA,1988,2005,10,781333.350945454
"1273",23014,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47211,"沖<U+7E04><U+770C>","沖<U+7E04>市","泡<U+702C>",NA,NA,13000000,781367.392945454,"３ＬＤＫ","55",NA,NA,NA,NA,"平成","17","ＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2015","第２四半期",NA,NA,1988,2005,10,781333.350945454
"1274",23016,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47211,"沖<U+7E04><U+770C>","沖<U+7E04>市","泡<U+702C>",NA,NA,13000000,781367.392945454,"３ＬＤＫ","55",NA,NA,NA,NA,NA,NA,"ＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2015","第１四半期","未改<U+88C5>",NA,0,NA,NA,NA
"1275",23107,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47211,"沖<U+7E04><U+770C>","沖<U+7E04>市","胡屋",NA,NA,5600000,336589.030807273,"<U+30AA><U+30FC><U+30D7><U+30F3><U+30D5><U+30ED><U+30A2>","55",NA,NA,NA,NA,"昭和","63","ＲＣ","住宅","住宅",NA,NA,NA,"商業地域",80,400,"2015","第３四半期",NA,NA,1925,1988,27,336497.117407273
"1276",23110,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47211,"沖<U+7E04><U+770C>","沖<U+7E04>市","胡屋",NA,NA,5300000,389348.025715556,"２ＬＤＫ","45",NA,NA,NA,NA,NA,NA,"ＲＣ","住宅","住宅",NA,NA,NA,"商業地域",80,400,"2015","第２四半期",NA,NA,0,NA,NA,NA
"1277",23120,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47211,"沖<U+7E04><U+770C>","沖<U+7E04>市","住吉",NA,NA,8500000,401416.765057143,"２ＬＤＫ","70",NA,NA,NA,NA,"平成","3","ＲＣ","住宅","住宅",NA,NA,NA,"第１種住居地域",60,200,"2015","第３四半期","未改<U+88C5>",NA,1988,1991,24,401335.064257143
"1278",23122,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47211,"沖<U+7E04><U+770C>","沖<U+7E04>市","住吉",NA,NA,8000000,440771.349866667,"３ＬＤＫ","60",NA,NA,NA,NA,"平成","3","ＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2015","第１四半期",NA,NA,1988,1991,24,440689.649066667
"1279",23158,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47211,"沖<U+7E04><U+770C>","沖<U+7E04>市","高原",NA,NA,5000000,254291.163384615,"３ＬＤＫ","65",NA,NA,NA,NA,"昭和","59","ＲＣ","住宅","事務所",NA,NA,NA,"市街化<U+533A>域及<U+3073>市街化調整<U+533A>域外<U+306E>都市計<U+753B><U+533A>域",NA,NA,"2015","第１四半期","未改<U+88C5>",NA,1925,1984,31,254185.633184615
"1280",23225,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47211,"沖<U+7E04><U+770C>","沖<U+7E04>市","比屋根",NA,NA,7000000,385674.931133333,"３ＬＤＫ","60",NA,NA,NA,NA,"昭和","59","ＲＣ","住宅","住宅",NA,NA,NA,"市街化<U+533A>域及<U+3073>市街化調整<U+533A>域外<U+306E>都市計<U+753B><U+533A>域",70,200,"2015","第３四半期","未改<U+88C5>",NA,1925,1984,31,385569.400933333
"1281",23226,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47211,"沖<U+7E04><U+770C>","沖<U+7E04>市","比屋根",NA,NA,16000000,813731.722830769,"３ＬＤＫ","65",NA,NA,NA,NA,"平成","14","ＲＣ","住宅","住宅",NA,NA,NA,"近<U+96A3>商業地域",80,300,"2015","第３四半期","未改<U+88C5>",NA,1988,2002,13,813687.468230769
