"","No","Type","Land_type","City_code","Prefecture","City_name","District_name","Closet_station","Min_closet_station","Price","Unit_price_py","Room_number","Area_mm2","Unit_price_mm2","Land_shape","open_length","Building_area_mm2","Year_built_Japanese1","Year_built_Japanese2","Building_structure","Usage","Future_usage","Front_road_direction","Front_road_type","Front_road_open_length","City_plan","Building_rate","Floor_area_ratio","Year_traded","Quarter_traded","Remodeled","Note","Year_built_JapanesetoWestern","Year_built_western","House_age","UnitPricePy_corrected_byHouseAge"
"736",13448,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","松尾",NA,NA,14000000,841472.577018182,"２ＬＤＫ","55",NA,NA,NA,NA,"平成","15","ＳＲＣ","住宅",NA,NA,NA,NA,NA,NA,NA,"2010","第２四半期",NA,NA,1988,2003,7,841448.747618182
"737",13452,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","字松川",NA,NA,1000000,220385.674933333,"１Ｋ","15",NA,NA,NA,NA,"昭和","50","ＳＲＣ","住宅",NA,NA,NA,NA,NA,NA,NA,"2010","第４四半期","未改<U+88C5>",NA,1925,1975,35,220266.527933333
"738",13458,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","松川","安里","19",4200000,252441.773105455,"３ＬＤＫ","55",NA,NA,NA,NA,"昭和","64","ＲＣ","住宅",NA,NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2010","第２四半期","未改<U+88C5>","調停<U+30FB>競<U+58F2>等",1925,1989,21,252370.284905455
"739",13460,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","松島","市立病院前(沖<U+7E04>)","6",22000000,1038961.03897143,"３ＬＤＫ","70",NA,NA,NA,NA,"平成","12","ＲＣ","住宅",NA,NA,NA,NA,"第１種住居地域",60,200,"2010","第３四半期","未改<U+88C5>",NA,1988,2000,10,1038926.99697143
"740",13464,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","松山","<U+770C><U+5E81>前(沖<U+7E04>)","5",7500000,450788.880545455,"２ＬＤＫ","55",NA,NA,NA,NA,"昭和","60","ＲＣ","住宅",NA,NA,NA,NA,"商業地域",80,400,"2010","第１四半期","改<U+88C5><U+6E08>",NA,1925,1985,25,450703.775545455
"741",13465,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","松山","美<U+6804>橋","5",15000000,762873.490153846,"３ＬＤＫ","65",NA,NA,NA,NA,"平成","11","ＲＣ","住宅",NA,NA,NA,NA,"商業地域",80,400,"2010","第３四半期","未改<U+88C5>",NA,1988,1999,11,762836.043953846
"742",13470,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","港町",NA,NA,5600000,284806.102990769,"３ＬＤＫ","65",NA,NA,NA,NA,"昭和","62","ＲＣ","住宅",NA,NA,NA,NA,"商業地域",80,400,"2010","第１四半期","未改<U+88C5>","調停<U+30FB>競<U+58F2>等",1925,1987,23,284727.806390769
"743",13476,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","三原","安里","8",9000000,425029.515942857,"４ＬＤＫ","70",NA,NA,NA,NA,"昭和","61","ＲＣ","住宅",NA,NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2010","第３四半期","未改<U+88C5>",NA,1925,1986,24,424947.815142857
"744",13478,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","三原",NA,NA,13000000,613931.523028571,"３ＬＤＫ","70",NA,NA,NA,NA,"昭和","64","ＲＣ","住宅",NA,NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2010","第２四半期","改<U+88C5><U+6E08>",NA,1925,1989,21,613860.034828571
"745",13482,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","寄宮","安里","12",9200000,467895.740627692,"３ＬＤＫ","65",NA,NA,NA,NA,"昭和","61","ＲＣ","住宅",NA,NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2010","第２四半期","未改<U+88C5>",NA,1925,1986,24,467814.039827692
"746",13483,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","寄宮","安里","15",15000000,826446.281,"３ＬＤＫ","60",NA,NA,NA,NA,"平成","6","ＲＣ","住宅",NA,NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2010","第１四半期","改<U+88C5><U+6E08>",NA,1988,1994,16,826391.8138
"747",13751,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47208,"沖<U+7E04><U+770C>","浦添市","伊祖",NA,NA,19000000,966306.420861538,"３ＬＤＫ","65",NA,NA,NA,NA,"平成","12","ＲＣ","住宅",NA,NA,NA,NA,"第２種中高層住居<U+5C02>用地域",60,200,"2010","第４四半期","未改<U+88C5>",NA,1988,2000,10,966272.378861538
"748",13752,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47208,"沖<U+7E04><U+770C>","浦添市","伊祖",NA,NA,4000000,264462.80992,"２ＬＤＫ","50",NA,NA,NA,NA,"昭和","64","ＲＣ","住宅",NA,NA,NA,NA,"第２種住居地域",60,200,"2010","第３四半期","未改<U+88C5>",NA,1925,1989,21,264391.32172
"749",13755,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47208,"沖<U+7E04><U+770C>","浦添市","伊祖",NA,NA,25000000,1101928.37466667,"３ＬＤＫ","75",NA,NA,NA,NA,"平成","19","ＲＣ","住宅",NA,NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2010","第２四半期","未改<U+88C5>",NA,1988,2007,3,1101918.16206667
